,gender,car,reality,income_total,income_type,edu_type,family_type,house_type,occyp_type,family_size,begin_month,credit,age_total,work_total,ID,Nth_card,income_mean,contact_num
0,0.0,0.0,0.0,0.049418604651162795,1.0,1.0,1.0,1.0,19.0,1.0,0.6,0.0,0.7853638593622241,0.0,0.0,2.0,0.04951593384429205,1.0
1,0.0,0.0,0.0,0.049418604651162795,1.0,1.0,1.0,1.0,19.0,1.0,0.5333333333333333,0.0,0.7784137367130008,0.0,0.0,1.0,0.04951593384429205,1.0
2,0.0,0.0,0.0,0.049418604651162795,1.0,1.0,1.0,1.0,19.0,1.0,0.5,2.0,0.7767784137367131,0.0,0.0,0.0,0.04951593384429205,1.0
3,0.0,0.0,0.0,0.049418604651162795,1.0,1.0,3.0,1.0,19.0,0.0,0.7166666666666667,2.0,0.9572771872444807,0.0,1.0,1.0,0.10750302541347316,0.0
4,0.0,0.0,0.0,0.049418604651162795,1.0,1.0,3.0,1.0,19.0,0.0,0.35,2.0,0.919869174161897,0.0,1.0,0.0,0.10750302541347316,0.0
5,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.8333333333333334,2.0,0.7205641864268193,0.0,2.0,5.0,0.04951593384429205,0.0
6,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.7333333333333334,2.0,0.7103434178250203,0.0,2.0,4.0,0.04951593384429205,0.0
7,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.7166666666666667,2.0,0.7087080948487325,0.0,2.0,3.0,0.04951593384429205,0.0
8,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.4666666666666667,2.0,0.6847914963205233,0.0,2.0,2.0,0.04951593384429205,0.0
9,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.3833333333333333,2.0,0.6762060506950123,0.0,2.0,1.0,0.04951593384429205,0.0
10,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.09999999999999998,2.0,0.6473834832379395,0.0,2.0,0.0,0.04951593384429205,0.0
11,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.9166666666666666,2.0,0.8415780866721179,0.0,3.0,1.0,0.04951593384429205,0.0
12,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.8833333333333333,2.0,0.8381030253475061,0.0,3.0,0.0,0.04951593384429205,0.0
13,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.1333333333333333,2.0,0.7972199509403106,0.0,4.0,0.0,0.04951593384429205,0.0
14,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.6,2.0,0.9335650040883074,0.0,5.0,2.0,0.04951593384429205,0.0
15,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.050000000000000044,2.0,0.8789860997547014,0.0,5.0,1.0,0.04951593384429205,0.0
16,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,1.0,1.0,19.0,1.0,0.050000000000000044,2.0,0.8789860997547014,0.0,5.0,0.0,0.04951593384429205,0.0
17,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,3.0,1.0,19.0,0.0,0.9,2.0,0.9131234668847097,0.0,6.0,1.0,0.10750302541347316,1.0
18,0.0,0.0,0.0,0.049418604651162795,1.0,4.0,3.0,1.0,19.0,0.0,0.75,2.0,0.8977923139820114,0.0,6.0,0.0,0.10750302541347316,1.0
19,0.0,0.0,0.0,0.049418604651162795,2.0,4.0,0.0,1.0,3.0,1.0,0.1166666666666667,2.0,0.3458708094848733,0.16390688744900409,7.0,0.0,0.04951593384429205,0.0
20,0.0,0.0,0.0,0.049418604651162795,4.0,1.0,1.0,1.0,18.0,1.0,0.95,0.0,0.5008176614881439,0.4300455963522919,8.0,2.0,0.04951593384429205,2.0
21,0.0,0.0,0.0,0.049418604651162795,4.0,1.0,1.0,1.0,18.0,1.0,0.9166666666666666,1.0,0.4973426001635323,0.4259659227261819,8.0,1.0,0.04951593384429205,2.0
22,0.0,0.0,0.0,0.049418604651162795,4.0,1.0,1.0,1.0,18.0,1.0,0.75,2.0,0.4803761242845462,0.40604751619870416,8.0,0.0,0.04951593384429205,2.0
23,0.0,0.0,0.0,0.049418604651162795,4.0,4.0,1.0,1.0,11.0,1.0,0.3833333333333333,2.0,0.5433360588716272,0.6539476841852652,9.0,1.0,0.04951593384429205,1.0
